I Frame: size=70482,  delay=383, sendms=74100464, recvms=74100847, md5=7423fd218b366ab6452fae28873f67f7,
I Frame: size=70653,  delay=690, sendms=74100488, recvms=74101178, md5=219481375ba918ff2c7f12a63ad9adbb,
I Frame: size=80979,  delay=278, sendms=74102624, recvms=74102902, md5=3b16be3caaaf492f17c7794aefae4264,
P Frame: size=13503,  delay=219, sendms=74102700, recvms=74102919, md5=93cc5e6f4fc59f15eaaf650bf368640d,
P Frame: size=20485,  delay=176, sendms=74102814, recvms=74102990, md5=042cf8076e240221c6e8ba29bd4c15c0,
P Frame: size=17554,  delay=159, sendms=74102869, recvms=74103028, md5=50292507cc281110b81c155d949a73dd,
P Frame: size=16594,  delay=129, sendms=74102940, recvms=74103069, md5=2b470dc8c1e22761744ae617b73974e7,
P Frame: size=17185,  delay=103, sendms=74103011, recvms=74103114, md5=63b1187b24ddcf2083045678f29d488f,
P Frame: size=17494,  delay=82, sendms=74103085, recvms=74103167, md5=c7ae1bac4ffb7678e6e34a2b4daafe56,
P Frame: size=17294,  delay=67, sendms=74103156, recvms=74103223, md5=5951f3b9bb4e7a3c397125aaef120db2,
P Frame: size=17598,  delay=54, sendms=74103227, recvms=74103281, md5=e2b7867dd7203ff440aa44d2f5e112fa,
P Frame: size=17780,  delay=50, sendms=74103299, recvms=74103349, md5=45556368aef31220584980f1a318986d,
P Frame: size=17753,  delay=46, sendms=74103371, recvms=74103417, md5=0b227715f35143a7e39198a00866bbd3,
P Frame: size=17381,  delay=46, sendms=74103442, recvms=74103488, md5=d86ce42980c15ab9fb2bef9ae9411e50,
P Frame: size=17265,  delay=44, sendms=74103514, recvms=74103558, md5=19ec5a1e04f5aaed7a8948a1b9921636,
P Frame: size=16967,  delay=40, sendms=74103586, recvms=74103626, md5=eb4026b8069f65e0ef8563ab79f897c5,
P Frame: size=17118,  delay=40, sendms=74103657, recvms=74103697, md5=f668d728e122f5dab966aef7b63c0b29,
P Frame: size=16705,  delay=40, sendms=74103729, recvms=74103769, md5=5ca0537f04975176126f37329cb4b1ca,
P Frame: size=16724,  delay=39, sendms=74103801, recvms=74103840, md5=e77112a0e13deea4f3148d10ed6d87d4,
P Frame: size=15748,  delay=38, sendms=74103873, recvms=74103911, md5=407cde5c2367142d98b637e9c9092e4f,
P Frame: size=15979,  delay=37, sendms=74103946, recvms=74103983, md5=ceed5d96dbed8eb32ca469ec98d309a1,
P Frame: size=15515,  delay=37, sendms=74104017, recvms=74104054, md5=01d22c4dcfdd190aee03329eee2f04ec,
P Frame: size=16093,  delay=37, sendms=74104089, recvms=74104126, md5=cb4d86150ff71ccba17f566cf31379d4,
P Frame: size=17219,  delay=43, sendms=74104160, recvms=74104203, md5=134526168d59703567dc68e3f68dfc77,
P Frame: size=16826,  delay=39, sendms=74104232, recvms=74104271, md5=09456b17968950e9f7338ff17bfbafe1,
P Frame: size=16898,  delay=41, sendms=74104304, recvms=74104345, md5=a3f189fd203211fcc9586fb35d97003b,
P Frame: size=15902,  delay=40, sendms=74104376, recvms=74104416, md5=92dfba25b36b38062b592f74ab469f0c,
P Frame: size=15108,  delay=34, sendms=74104448, recvms=74104482, md5=57f6fd251d87ad812b240be16ebdb674,
I Frame: size=76746,  delay=181, sendms=74104490, recvms=74104671, md5=359453b5650e23ec150418bbab6532d5,
P Frame: size=12771,  delay=132, sendms=74104562, recvms=74104694, md5=1a9983efa80e0f392e4ac43fd57216dd,
P Frame: size=14364,  delay=86, sendms=74104641, recvms=74104727, md5=911daa92f89abbb428e4e0c98e89a8a8,
P Frame: size=14138,  delay=59, sendms=74104700, recvms=74104759, md5=2b195ff511a688dbbd6824c6c49f9fe8,
P Frame: size=14526,  delay=37, sendms=74104771, recvms=74104808, md5=7997866280b8fceca5b8432c92fb7b18,
P Frame: size=13649,  delay=33, sendms=74104842, recvms=74104875, md5=c8755633a5b0b06947ead86def339d46,
P Frame: size=14589,  delay=34, sendms=74104916, recvms=74104950, md5=d5d1b7cb736e807e761a0b81f01f6b5c,
P Frame: size=14637,  delay=33, sendms=74104987, recvms=74105020, md5=0890d36b9bd80b0958f0914760c8e486,
P Frame: size=14803,  delay=35, sendms=74105058, recvms=74105093, md5=cbc528b4a48206065a4d5d5a2d856bdf,
P Frame: size=14574,  delay=35, sendms=74105130, recvms=74105165, md5=06b7810df9c8bba534b7bf995de701ed,
P Frame: size=14817,  delay=39, sendms=74105204, recvms=74105243, md5=71ce4b374ca41e4557a896e8b06a88b9,
P Frame: size=14664,  delay=35, sendms=74105274, recvms=74105309, md5=2162618bdddd856dd8fb6ca2cdbeb402,
P Frame: size=14423,  delay=35, sendms=74105346, recvms=74105381, md5=f6148ab39320bebd755d2cfb5fbcedab,
P Frame: size=14639,  delay=35, sendms=74105418, recvms=74105453, md5=356b153d399f3db07bf289c7b55ede34,
P Frame: size=15193,  delay=37, sendms=74105492, recvms=74105529, md5=496a0f7c8fc56700da4ff043c00e730b,
P Frame: size=13996,  delay=34, sendms=74105562, recvms=74105596, md5=70d54666d7d501de2da02a343beaee82,
P Frame: size=14922,  delay=35, sendms=74105635, recvms=74105670, md5=a6aa61b0ce5eff2eb4610ecc92ffdaf8,
P Frame: size=14612,  delay=34, sendms=74105705, recvms=74105739, md5=2ed2238c37ff194efd37b1d014456893,
P Frame: size=14481,  delay=35, sendms=74105777, recvms=74105812, md5=40d091f38f471aa6122ee22bf9ad7f10,
P Frame: size=13915,  delay=32, sendms=74105848, recvms=74105880, md5=5a8c461fa1255611e916f3452ed2e094,
P Frame: size=13810,  delay=33, sendms=74105921, recvms=74105954, md5=e447e0b72885b2faca25465b12bc5fd5,
P Frame: size=14365,  delay=35, sendms=74105992, recvms=74106027, md5=39bf57f4852521df649eed12d081e886,
P Frame: size=14758,  delay=35, sendms=74106065, recvms=74106100, md5=c02be71375ff7b03964e97bd9227a089,
P Frame: size=14701,  delay=34, sendms=74106136, recvms=74106170, md5=53ba545eb1e0bc24966dc64813909702,
P Frame: size=14326,  delay=35, sendms=74106207, recvms=74106242, md5=7eaa1f7fc639fd41f2502f0eb1c0c8bd,
P Frame: size=14094,  delay=35, sendms=74106280, recvms=74106315, md5=d625440de7c65555f616432d405148d3,
I Frame: size=73824,  delay=175, sendms=74106323, recvms=74106498, md5=7a7dda0254a0f8bd1ff3eeeffd8093f6,
P Frame: size=12271,  delay=125, sendms=74106396, recvms=74106521, md5=155f761620cb3068c975ef6471e8bbf8,
P Frame: size=15678,  delay=83, sendms=74106475, recvms=74106558, md5=ca73120de2e8689a8b050bf0ac5f8c2b,
P Frame: size=14960,  delay=56, sendms=74106533, recvms=74106589, md5=d0821c10594807aa91fbc112fa6118c2,
