I Frame: size=70229,  delay=459, sendms=79140484, recvms=79140943, md5=377003ab1ca120de7a7251fa09c81676,
I Frame: size=70482,  delay=766, sendms=79140513, recvms=79141279, md5=ec1d0bf409b7e488e437fad734bcba27,
I Frame: size=81034,  delay=269, sendms=79142972, recvms=79143241, md5=85c1e6321f2790209161b101f1656bed,
P Frame: size=14879,  delay=204, sendms=79143060, recvms=79143264, md5=6ed2e167332b4257a67ec9e34d31d22f,
P Frame: size=15836,  delay=171, sendms=79143144, recvms=79143315, md5=6a0423958a911f4c762f03184dffe533,
P Frame: size=19624,  delay=134, sendms=79143260, recvms=79143394, md5=737a4c5e1d1d50b02c470b5eff575cae,
P Frame: size=19951,  delay=95, sendms=79143387, recvms=79143482, md5=953c2cdfa703306d5e936df4f87d1068,
P Frame: size=17362,  delay=74, sendms=79143472, recvms=79143546, md5=5592cec3ed3b734b2302cc6cc4485088,
P Frame: size=19943,  delay=55, sendms=79143605, recvms=79143660, md5=1f88262554c9b31b4f34e5a0c97b4c91,
P Frame: size=19818,  delay=56, sendms=79143729, recvms=79143785, md5=93f667905fb36d0df7e5df3feadb958e,
P Frame: size=18009,  delay=48, sendms=79143813, recvms=79143861, md5=8781525feb0d35661788714abc604c8f,
P Frame: size=20497,  delay=54, sendms=79143943, recvms=79143997, md5=41af9f7da98a9c1daea88f04999fb74f,
P Frame: size=20718,  delay=57, sendms=79144071, recvms=79144128, md5=559e964eda7dc315a3dfd5c8683de1cc,
P Frame: size=17176,  delay=47, sendms=79144153, recvms=79144200, md5=3f034b150c01e54134b98bbca6c394b2,
P Frame: size=19667,  delay=53, sendms=79144286, recvms=79144339, md5=b6fab6a8eadd67b89cd8b98018e00567,
P Frame: size=19487,  delay=53, sendms=79144409, recvms=79144462, md5=96502146644a71c8535431532d76a96c,
P Frame: size=16511,  delay=48, sendms=79144496, recvms=79144544, md5=4185394d2bfa05b5567de92b4a92b6e2,
P Frame: size=19010,  delay=54, sendms=79144620, recvms=79144674, md5=5ac8b97589211b37fdc5d3a16b8b1034,
P Frame: size=18483,  delay=51, sendms=79144748, recvms=79144799, md5=7199b22245bd5af739a53fedba9e1f08,
P Frame: size=15899,  delay=42, sendms=79144830, recvms=79144872, md5=2bd16ef32766e3b955925d57e6fa9932,
P Frame: size=18529,  delay=52, sendms=79144960, recvms=79145012, md5=e7ab76d8baaf8b2bbda8787caee53e1b,
P Frame: size=17987,  delay=52, sendms=79145086, recvms=79145138, md5=5d7b478f1fdd7c8a94fc360b121277bf,
P Frame: size=15937,  delay=42, sendms=79145169, recvms=79145211, md5=d2ffbd8f2d5eb544f47e3a7b414138b0,
P Frame: size=17827,  delay=54, sendms=79145299, recvms=79145353, md5=a97d70f9217ef94bccbdaf4720b8f8bc,
P Frame: size=17256,  delay=46, sendms=79145426, recvms=79145472, md5=bc13e33105028342e2d4c6ca307a96f8,
P Frame: size=15210,  delay=40, sendms=79145509, recvms=79145549, md5=0c51a8928e530c4cb8c1bfbc9a2f2d98,
P Frame: size=17987,  delay=47, sendms=79145637, recvms=79145684, md5=f583755a9b8c8809d2834aa69fe8e0ca,
P Frame: size=17962,  delay=48, sendms=79145764, recvms=79145812, md5=3c69258c72441382b82fbb1d355875a2,
I Frame: size=75512,  delay=194, sendms=79145814, recvms=79146008, md5=5b61b3ddfd7e182a4bb18105b6733d7f,
P Frame: size=14943,  delay=92, sendms=79145946, recvms=79146038, md5=bdeeaa49a147e90aa1934c05592d4219,
P Frame: size=14606,  delay=44, sendms=79146032, recvms=79146076, md5=66b00f42aa9c482e8c3ebba0ad3c5afe,
P Frame: size=17016,  delay=48, sendms=79146150, recvms=79146198, md5=13ed2ea6f018eb8e76fe19e2722729dc,
P Frame: size=16779,  delay=47, sendms=79146277, recvms=79146324, md5=e81ecfb3e02e86a85ae573bb247f155d,
