Unknown Frame: size=1707, net_delay=20, decode_delay=3, encode_delay=62, total_delay=85, md5=967f29065bd13f92a6bafded222fffad
Unknown Frame: size=654, net_delay=14, decode_delay=3, encode_delay=17, total_delay=34, md5=53adf0450afbe1954d10c277f4332118
Unknown Frame: size=16666, net_delay=31, decode_delay=6, encode_delay=71, total_delay=108, md5=26ca3fd4f121d73dd8db587efe63e3bc
Unknown Frame: size=6421, net_delay=44, decode_delay=2, encode_delay=40, total_delay=86, md5=f18a52cb2f2ee638ebc62c4e395fa294
Unknown Frame: size=13171, net_delay=37, decode_delay=3, encode_delay=40, total_delay=80, md5=53173c185d2f95dbcbdd67de7e4f6de9
Unknown Frame: size=13536, net_delay=36, decode_delay=2, encode_delay=38, total_delay=76, md5=adabaaaa0e23acfb64facd6155d856a2
Unknown Frame: size=7179, net_delay=29, decode_delay=3, encode_delay=35, total_delay=67, md5=07f9ac87f287e5559d98af979f6fe9cd
Unknown Frame: size=8095, net_delay=18, decode_delay=3, encode_delay=50, total_delay=71, md5=82059c9b3e71deb7eb90cb1c5dc3b253
Unknown Frame: size=12146, net_delay=28, decode_delay=3, encode_delay=39, total_delay=70, md5=f0e0ab4ee2ad9a119d746f19ec5ffe71
Unknown Frame: size=11520, net_delay=29, decode_delay=2, encode_delay=38, total_delay=69, md5=bd0fedb8ee61aae69e1dd36dc3c180d4
Unknown Frame: size=13125, net_delay=30, decode_delay=2, encode_delay=37, total_delay=69, md5=b33b89918089a58ad3e1a8d6f0d42014
Unknown Frame: size=22950, net_delay=33, decode_delay=3, encode_delay=37, total_delay=73, md5=cce3c9f4626534a51fbe3b5325f5c50a
Unknown Frame: size=18798, net_delay=35, decode_delay=2, encode_delay=38, total_delay=75, md5=806ba4b522de5d358260a94464caa6b4
Unknown Frame: size=12142, net_delay=34, decode_delay=2, encode_delay=38, total_delay=74, md5=87ca1d8fc9cebd163854be8a4d9bd7d7
Unknown Frame: size=21303, net_delay=34, decode_delay=2, encode_delay=41, total_delay=77, md5=501c1154df4393a1d4156df55eba3e9b
Unknown Frame: size=18213, net_delay=37, decode_delay=3, encode_delay=40, total_delay=80, md5=ddfcc02603bf84334353bb08e37434f8
Unknown Frame: size=17191, net_delay=39, decode_delay=3, encode_delay=39, total_delay=81, md5=7b407e3f414da23dd08816290895cd08
Unknown Frame: size=26162, net_delay=42, decode_delay=4, encode_delay=40, total_delay=86, md5=7940717fc78e11740618d52de16fa281
Unknown Frame: size=29867, net_delay=47, decode_delay=3, encode_delay=38, total_delay=88, md5=789434bfa08a065d87c2199b46368a39
Unknown Frame: size=24011, net_delay=42, decode_delay=3, encode_delay=46, total_delay=91, md5=663834300962aa6a866551110505be50
Unknown Frame: size=18223, net_delay=43, decode_delay=3, encode_delay=45, total_delay=91, md5=6b14d0b654984c2d236acb2ecd4afd9c
Unknown Frame: size=25148, net_delay=52, decode_delay=3, encode_delay=38, total_delay=93, md5=1c0196d38f590eb9dadb02450c3755df
Unknown Frame: size=24925, net_delay=52, decode_delay=3, encode_delay=39, total_delay=94, md5=c599613ab166b50e0497d9d4a98b9a47
Unknown Frame: size=23512, net_delay=54, decode_delay=2, encode_delay=39, total_delay=95, md5=c63abc48ce02b1a78ee0af3c2ee3a514
Unknown Frame: size=26011, net_delay=55, decode_delay=2, encode_delay=38, total_delay=95, md5=ab3c51f266f1c9b00a5dd3ef9a947967
Unknown Frame: size=82433, net_delay=100, decode_delay=8, encode_delay=135, total_delay=243, md5=aec0cf461ca4d805ca5a54baaab2fbcf
Unknown Frame: size=18663, net_delay=62, decode_delay=3, encode_delay=94, total_delay=159, md5=7d748853335403148db652455123fc84
Unknown Frame: size=23163, net_delay=79, decode_delay=3, encode_delay=76, total_delay=158, md5=3b0f46e4d58a7cce264477e539cca221
Unknown Frame: size=27691, net_delay=86, decode_delay=3, encode_delay=71, total_delay=160, md5=33ff82d696b934aa3e7747ac7f35ebcb
Unknown Frame: size=28745, net_delay=87, decode_delay=3, encode_delay=72, total_delay=162, md5=6e9de8781015e594e216ccd4f3f919e7
Unknown Frame: size=29348, net_delay=92, decode_delay=3, encode_delay=70, total_delay=165, md5=ef6a31628eba6ebd47121126b7214894
Unknown Frame: size=38489, net_delay=95, decode_delay=3, encode_delay=71, total_delay=169, md5=46c565caa53b92837d8ca31010b7a71a
Unknown Frame: size=46093, net_delay=97, decode_delay=4, encode_delay=73, total_delay=174, md5=7e548f8973c5b6c8a602259ac26de779
Unknown Frame: size=44787, net_delay=110, decode_delay=4, encode_delay=62, total_delay=176, md5=672d5735aed40ea132c39bc6b2ebfa24
Unknown Frame: size=45809, net_delay=111, decode_delay=5, encode_delay=63, total_delay=179, md5=f87f2709af552b5e73fb77a1e1a651e8
Unknown Frame: size=56232, net_delay=106, decode_delay=4, encode_delay=71, total_delay=181, md5=b7286767396addf1d2270cf6fe943bb6
Unknown Frame: size=54380, net_delay=113, decode_delay=4, encode_delay=69, total_delay=186, md5=6a771adb92f6ff1c8283888b3f4acf4a
Unknown Frame: size=62956, net_delay=110, decode_delay=4, encode_delay=76, total_delay=190, md5=1adbe828756bf6f193cffbacb5ad34a2
Unknown Frame: size=68275, net_delay=123, decode_delay=4, encode_delay=68, total_delay=195, md5=42c47a3f2f27438883ceda737a84cc35
Unknown Frame: size=66571, net_delay=125, decode_delay=4, encode_delay=68, total_delay=197, md5=f79f3dce28f0a22202acc4fe5406b156
Unknown Frame: size=62674, net_delay=132, decode_delay=4, encode_delay=63, total_delay=199, md5=10db43ed4a68563abc559565115f96bd
Unknown Frame: size=32005, net_delay=116, decode_delay=3, encode_delay=78, total_delay=197, md5=f289783c36c1ab1077990809fd939784
Unknown Frame: size=13516, net_delay=146, decode_delay=3, encode_delay=40, total_delay=189, md5=16cc6ea831f46d3406818934b1548c52
Unknown Frame: size=21795, net_delay=135, decode_delay=3, encode_delay=47, total_delay=185, md5=16b3edb25d381175dd769caf87fd1784
