Unknown Frame: size=1707, net_delay=21, decode_delay=3, encode_delay=65, total_delay=89, md5=967f29065bd13f92a6bafded222fffad
Unknown Frame: size=654, net_delay=37, decode_delay=3, encode_delay=19, total_delay=59, md5=53adf0450afbe1954d10c277f4332118
Unknown Frame: size=16666, net_delay=77, decode_delay=5, encode_delay=61, total_delay=143, md5=26ca3fd4f121d73dd8db587efe63e3bc
Unknown Frame: size=6421, net_delay=63, decode_delay=2, encode_delay=36, total_delay=101, md5=f18a52cb2f2ee638ebc62c4e395fa294
Unknown Frame: size=13171, net_delay=48, decode_delay=3, encode_delay=36, total_delay=87, md5=53173c185d2f95dbcbdd67de7e4f6de9
Unknown Frame: size=13536, net_delay=41, decode_delay=4, encode_delay=37, total_delay=82, md5=adabaaaa0e23acfb64facd6155d856a2
Unknown Frame: size=7179, net_delay=34, decode_delay=3, encode_delay=30, total_delay=67, md5=07f9ac87f287e5559d98af979f6fe9cd
Unknown Frame: size=8095, net_delay=23, decode_delay=3, encode_delay=38, total_delay=64, md5=82059c9b3e71deb7eb90cb1c5dc3b253
Unknown Frame: size=12146, net_delay=24, decode_delay=2, encode_delay=36, total_delay=62, md5=f0e0ab4ee2ad9a119d746f19ec5ffe71
Unknown Frame: size=11520, net_delay=20, decode_delay=2, encode_delay=54, total_delay=76, md5=bd0fedb8ee61aae69e1dd36dc3c180d4
Unknown Frame: size=13125, net_delay=39, decode_delay=3, encode_delay=33, total_delay=75, md5=b33b89918089a58ad3e1a8d6f0d42014
Unknown Frame: size=22950, net_delay=44, decode_delay=2, encode_delay=33, total_delay=79, md5=cce3c9f4626534a51fbe3b5325f5c50a
Unknown Frame: size=18798, net_delay=47, decode_delay=2, encode_delay=29, total_delay=78, md5=806ba4b522de5d358260a94464caa6b4
Unknown Frame: size=12142, net_delay=39, decode_delay=2, encode_delay=36, total_delay=77, md5=87ca1d8fc9cebd163854be8a4d9bd7d7
Unknown Frame: size=21303, net_delay=43, decode_delay=3, encode_delay=35, total_delay=81, md5=501c1154df4393a1d4156df55eba3e9b
Unknown Frame: size=18213, net_delay=43, decode_delay=3, encode_delay=37, total_delay=83, md5=ddfcc02603bf84334353bb08e37434f8
Unknown Frame: size=17191, net_delay=47, decode_delay=2, encode_delay=34, total_delay=83, md5=7b407e3f414da23dd08816290895cd08
Unknown Frame: size=26162, net_delay=49, decode_delay=3, encode_delay=36, total_delay=88, md5=7940717fc78e11740618d52de16fa281
Unknown Frame: size=29867, net_delay=52, decode_delay=3, encode_delay=39, total_delay=94, md5=789434bfa08a065d87c2199b46368a39
Unknown Frame: size=24011, net_delay=54, decode_delay=2, encode_delay=39, total_delay=95, md5=663834300962aa6a866551110505be50
Unknown Frame: size=18223, net_delay=59, decode_delay=3, encode_delay=34, total_delay=96, md5=6b14d0b654984c2d236acb2ecd4afd9c
Unknown Frame: size=25148, net_delay=55, decode_delay=3, encode_delay=41, total_delay=99, md5=1c0196d38f590eb9dadb02450c3755df
Unknown Frame: size=24925, net_delay=59, decode_delay=3, encode_delay=40, total_delay=102, md5=c599613ab166b50e0497d9d4a98b9a47
Unknown Frame: size=23512, net_delay=64, decode_delay=4, encode_delay=36, total_delay=104, md5=c63abc48ce02b1a78ee0af3c2ee3a514
Unknown Frame: size=26011, net_delay=65, decode_delay=4, encode_delay=36, total_delay=105, md5=ab3c51f266f1c9b00a5dd3ef9a947967
Unknown Frame: size=82433, net_delay=128, decode_delay=6, encode_delay=130, total_delay=264, md5=aec0cf461ca4d805ca5a54baaab2fbcf
Unknown Frame: size=18663, net_delay=107, decode_delay=2, encode_delay=88, total_delay=197, md5=7d748853335403148db652455123fc84
Unknown Frame: size=23163, net_delay=132, decode_delay=3, encode_delay=65, total_delay=200, md5=3b0f46e4d58a7cce264477e539cca221
Unknown Frame: size=27691, net_delay=131, decode_delay=3, encode_delay=67, total_delay=201, md5=33ff82d696b934aa3e7747ac7f35ebcb
Unknown Frame: size=28745, net_delay=127, decode_delay=5, encode_delay=73, total_delay=205, md5=6e9de8781015e594e216ccd4f3f919e7
Unknown Frame: size=29348, net_delay=133, decode_delay=6, encode_delay=69, total_delay=208, md5=ef6a31628eba6ebd47121126b7214894
Unknown Frame: size=38489, net_delay=138, decode_delay=3, encode_delay=64, total_delay=205, md5=46c565caa53b92837d8ca31010b7a71a
Unknown Frame: size=46093, net_delay=134, decode_delay=4, encode_delay=74, total_delay=212, md5=7e548f8973c5b6c8a602259ac26de779
Unknown Frame: size=44787, net_delay=126, decode_delay=3, encode_delay=87, total_delay=216, md5=672d5735aed40ea132c39bc6b2ebfa24
Unknown Frame: size=45809, net_delay=142, decode_delay=4, encode_delay=76, total_delay=222, md5=f87f2709af552b5e73fb77a1e1a651e8
Unknown Frame: size=56232, net_delay=150, decode_delay=3, encode_delay=74, total_delay=227, md5=b7286767396addf1d2270cf6fe943bb6
Unknown Frame: size=55083, net_delay=156, decode_delay=3, encode_delay=72, total_delay=231, md5=f7224b1d664735fe9004cf0dcbc8b5ac
Unknown Frame: size=64243, net_delay=152, decode_delay=3, encode_delay=82, total_delay=237, md5=723cc97105b35dce1c842c2d14c0a08a
Unknown Frame: size=70927, net_delay=164, decode_delay=4, encode_delay=75, total_delay=243, md5=2f87b209ce4f91dbf55f14164bfc7fb2
Unknown Frame: size=69117, net_delay=172, decode_delay=4, encode_delay=71, total_delay=247, md5=f97f9d1452d0030a4ed0d67d24f409b9
Unknown Frame: size=65215, net_delay=174, decode_delay=3, encode_delay=72, total_delay=249, md5=788db9f766c584c45a926399947def89
Unknown Frame: size=33417, net_delay=168, decode_delay=3, encode_delay=76, total_delay=247, md5=535388d43553dbcfa72138447b47ed81
Unknown Frame: size=15174, net_delay=193, decode_delay=3, encode_delay=46, total_delay=242, md5=93a1e36ca5227143e7f0e2d08a5c88ca
Unknown Frame: size=18748, net_delay=184, decode_delay=5, encode_delay=51, total_delay=240, md5=64d6cd9ba47c51345085efaec93251d3
Unknown Frame: size=27807, net_delay=183, decode_delay=4, encode_delay=50, total_delay=237, md5=b2a775134f9fa6b6d50a23d7c84b26a9
Unknown Frame: size=29459, net_delay=164, decode_delay=3, encode_delay=69, total_delay=236, md5=b2d4fe1399bd5a01a9426424650085eb
Unknown Frame: size=26070, net_delay=177, decode_delay=4, encode_delay=54, total_delay=235, md5=5abb106d83e2dfbd604ec520c71543e8
Unknown Frame: size=49939, net_delay=166, decode_delay=4, encode_delay=68, total_delay=238, md5=ebba68e2f34d2102d297d4587ef58b67
Unknown Frame: size=27233, net_delay=175, decode_delay=2, encode_delay=58, total_delay=235, md5=c22d9242e7720431ed21ad8a06995e53
Unknown Frame: size=29811, net_delay=174, decode_delay=3, encode_delay=57, total_delay=234, md5=c9e8a0c768cc8d15abce0f3b8bf058d7
Unknown Frame: size=51282, net_delay=176, decode_delay=5, encode_delay=55, total_delay=236, md5=5ca67222fde47dc4c041046064b5289c
Unknown Frame: size=36108, net_delay=181, decode_delay=4, encode_delay=50, total_delay=235, md5=ba52bd0bfb6aab80cda14ed13a787990
Unknown Frame: size=49076, net_delay=176, decode_delay=5, encode_delay=55, total_delay=236, md5=d1b4039cf5a40dc7131276409b24f81c
Unknown Frame: size=33307, net_delay=180, decode_delay=4, encode_delay=49, total_delay=233, md5=ab98f91d44e89601ae2257075220b76f
Unknown Frame: size=38923, net_delay=177, decode_delay=4, encode_delay=52, total_delay=233, md5=79a0b508025e3c0b87df1e41964882ec
Unknown Frame: size=34628, net_delay=174, decode_delay=5, encode_delay=54, total_delay=233, md5=bd2bb1b2ca14c3c19b95f69f71602d56
Unknown Frame: size=34029, net_delay=179, decode_delay=5, encode_delay=48, total_delay=232, md5=b9093c4588f2380c9714745f0124808a
Unknown Frame: size=45642, net_delay=175, decode_delay=5, encode_delay=52, total_delay=232, md5=95cef0cb44cfb12fa3476f1050016120
Unknown Frame: size=54381, net_delay=176, decode_delay=5, encode_delay=53, total_delay=234, md5=5eaccfb64e7cea3179043ab5f5a228ba
Unknown Frame: size=45806, net_delay=174, decode_delay=5, encode_delay=55, total_delay=234, md5=469baf8254ac87e3c03cd2644ec114cd
Unknown Frame: size=22992, net_delay=120, decode_delay=5, encode_delay=108, total_delay=233, md5=9f8b17528253c18861b5482eb1162957
Unknown Frame: size=4979, net_delay=171, decode_delay=2, encode_delay=53, total_delay=226, md5=57dbbbd56f2058a4f25d8c6af9859401
Unknown Frame: size=6008, net_delay=171, decode_delay=2, encode_delay=49, total_delay=222, md5=4b1e79ad7f64fa48279f8345f070b7b8
Unknown Frame: size=6728, net_delay=166, decode_delay=2, encode_delay=51, total_delay=219, md5=bcf5093d9cb4e14f6c1a513818f2b26b
Unknown Frame: size=6663, net_delay=166, decode_delay=2, encode_delay=47, total_delay=215, md5=01fd99f5275d349271ab6e158b556f13
Unknown Frame: size=6747, net_delay=160, decode_delay=2, encode_delay=50, total_delay=212, md5=9aac729150553134ef97d6ce8f321905
Unknown Frame: size=7387, net_delay=162, decode_delay=2, encode_delay=45, total_delay=209, md5=d76090ce3773ca12c7f720646f4b6e2a
Unknown Frame: size=8249, net_delay=164, decode_delay=12, encode_delay=42, total_delay=218, md5=8c25530389fd5b8e3e254fc865a6a8e4
Unknown Frame: size=9961, net_delay=153, decode_delay=3, encode_delay=49, total_delay=205, md5=14bf90107e6795d32b985d25b0f78581
Unknown Frame: size=11422, net_delay=151, decode_delay=3, encode_delay=50, total_delay=204, md5=94a264009d0f11190a7e5924c602006c
Unknown Frame: size=12178, net_delay=152, decode_delay=3, encode_delay=47, total_delay=202, md5=9752e5050367627e6ecffea28fddd199
Unknown Frame: size=12408, net_delay=155, decode_delay=3, encode_delay=42, total_delay=200, md5=2048a01887e8da47b354f8b886ba61bf
Unknown Frame: size=19383, net_delay=141, decode_delay=3, encode_delay=55, total_delay=199, md5=cd253f95c10474c18a154bf19d38584b
Unknown Frame: size=9454, net_delay=156, decode_delay=2, encode_delay=38, total_delay=196, md5=f7501952a4925c994115eb8b71a529b5
Unknown Frame: size=10594, net_delay=158, decode_delay=3, encode_delay=33, total_delay=194, md5=4960ec78785d2a92c3bf0afbbbf3fc59
Unknown Frame: size=14615, net_delay=160, decode_delay=3, encode_delay=29, total_delay=192, md5=042128d5f3662f03a166e91e4b1eef76
Unknown Frame: size=16237, net_delay=155, decode_delay=2, encode_delay=34, total_delay=191, md5=275b4e25fbfa7d447c107f414970dae9
Unknown Frame: size=14327, net_delay=157, decode_delay=3, encode_delay=31, total_delay=191, md5=ce55894dcd8d888246a0892c3cb4bcf2
Unknown Frame: size=8920, net_delay=156, decode_delay=2, encode_delay=30, total_delay=188, md5=311ac46011e746444edaa100d201ffc3
Unknown Frame: size=13074, net_delay=152, decode_delay=2, encode_delay=34, total_delay=188, md5=fd25dbf2c235af152dc6dc541f533278
Unknown Frame: size=13917, net_delay=149, decode_delay=3, encode_delay=36, total_delay=188, md5=12a50fc30168d0d9af5ccb4b1c88bdbb
Unknown Frame: size=17590, net_delay=147, decode_delay=3, encode_delay=37, total_delay=187, md5=5ebaa20a1f1546200e8dcb62b2d0a29b
Unknown Frame: size=16035, net_delay=146, decode_delay=3, encode_delay=37, total_delay=186, md5=efdba8edba3b4b298eb0b7a3cb0e934e
Unknown Frame: size=15358, net_delay=142, decode_delay=3, encode_delay=42, total_delay=187, md5=64a53de8e6252cdb296b04b00ea9c8e2
Unknown Frame: size=11322, net_delay=151, decode_delay=3, encode_delay=31, total_delay=185, md5=8d9bb45c2a95953a436e5187ba0b8f22
Unknown Frame: size=46002, net_delay=107, decode_delay=6, encode_delay=125, total_delay=238, md5=49502282f5ed6add19da0dc48d5bcaf0
Unknown Frame: size=10238, net_delay=104, decode_delay=3, encode_delay=90, total_delay=197, md5=8fbe654a2de7d1853a5af13ee6783f2e
Unknown Frame: size=12591, net_delay=115, decode_delay=3, encode_delay=82, total_delay=200, md5=8cd20fc8e27c5d7dfe8f94c435d81831
Unknown Frame: size=14301, net_delay=125, decode_delay=2, encode_delay=73, total_delay=200, md5=45747e04fb50bc744a2d82295d6305e1
Unknown Frame: size=15267, net_delay=133, decode_delay=3, encode_delay=66, total_delay=202, md5=199d361cef2f9dd580dd209998825e26
Unknown Frame: size=18322, net_delay=136, decode_delay=2, encode_delay=64, total_delay=202, md5=ffee1cff1de982ddf785ac03f3976edb
Unknown Frame: size=18914, net_delay=139, decode_delay=3, encode_delay=61, total_delay=203, md5=b27b4932822ca63b236f5443403817c1
Unknown Frame: size=16902, net_delay=139, decode_delay=3, encode_delay=61, total_delay=203, md5=f8e4fff99aa7b2db6ef82b74c1d704ce
Unknown Frame: size=24897, net_delay=136, decode_delay=3, encode_delay=65, total_delay=204, md5=c1c76d058f3850862ab60e8717a1ca3a
Unknown Frame: size=25308, net_delay=139, decode_delay=4, encode_delay=64, total_delay=207, md5=fa6f67d16d66e84a6e3e00872df7a5f4
Unknown Frame: size=32798, net_delay=136, decode_delay=6, encode_delay=66, total_delay=208, md5=5f0d02d7515a1863e7cb58f6bdfbcb65
Unknown Frame: size=30922, net_delay=131, decode_delay=5, encode_delay=72, total_delay=208, md5=beaa681c7f185d1986899316cddcbb42
Unknown Frame: size=41366, net_delay=143, decode_delay=4, encode_delay=63, total_delay=210, md5=401882eb05a6a9abd0078961827e0e8d
Unknown Frame: size=38942, net_delay=138, decode_delay=5, encode_delay=67, total_delay=210, md5=a94222ffa1356829b8b5b27291ec5375
Unknown Frame: size=44039, net_delay=131, decode_delay=4, encode_delay=76, total_delay=211, md5=ad3dcec8725df94c82f3f0dcf144c978
Unknown Frame: size=45800, net_delay=137, decode_delay=4, encode_delay=72, total_delay=213, md5=295b0541568e58c5aa92fd5d6efee5e7
Unknown Frame: size=47288, net_delay=148, decode_delay=3, encode_delay=63, total_delay=214, md5=722394640102339ea7390f7dd1d3eb78
Unknown Frame: size=56537, net_delay=145, decode_delay=4, encode_delay=68, total_delay=217, md5=07f6ae626181b8e0e0f9e9ed759ea68c
Unknown Frame: size=59324, net_delay=174, decode_delay=3, encode_delay=71, total_delay=248, md5=443dcbed34ba48e23861d8ae690bf797
Unknown Frame: size=65830, net_delay=233, decode_delay=3, encode_delay=60, total_delay=296, md5=72a21417b6923376263626c616e8aafb
Unknown Frame: size=50946, net_delay=230, decode_delay=4, encode_delay=74, total_delay=308, md5=fe4a671a422371bcc90717c4f82706a9
Unknown Frame: size=41019, net_delay=250, decode_delay=4, encode_delay=67, total_delay=321, md5=de7a3d7d215a875b1dcf29c3f31be39e
Unknown Frame: size=35375, net_delay=265, decode_delay=4, encode_delay=59, total_delay=328, md5=2df51a178b18de97c30061e6673eaaf7
Unknown Frame: size=32712, net_delay=255, decode_delay=4, encode_delay=63, total_delay=322, md5=72d2dd21f9c8bb8b8f6bbd4368718a70
Unknown Frame: size=35191, net_delay=258, decode_delay=3, encode_delay=64, total_delay=325, md5=b17406549efd4d3b81c2dd3e5fdd71b4
Unknown Frame: size=28466, net_delay=258, decode_delay=3, encode_delay=58, total_delay=319, md5=f0197f3f910e20751466d4105a9b1a01
Unknown Frame: size=27327, net_delay=227, decode_delay=5, encode_delay=61, total_delay=293, md5=031f2b224b28a1aa8cd1692a4df69c9a
Unknown Frame: size=26834, net_delay=209, decode_delay=3, encode_delay=60, total_delay=272, md5=8bb27e3fab351c97bf3a5a4bb0fa9b6f
Unknown Frame: size=29564, net_delay=210, decode_delay=3, encode_delay=62, total_delay=275, md5=f371e089c2932b13d86cf63fc5010ec7
Unknown Frame: size=25191, net_delay=217, decode_delay=4, encode_delay=56, total_delay=277, md5=635f9f5c1d82881353314c05ef934052
Unknown Frame: size=35354, net_delay=218, decode_delay=4, encode_delay=56, total_delay=278, md5=2463fe0753e3c6b863455f04be30a5f3
Unknown Frame: size=31956, net_delay=215, decode_delay=4, encode_delay=60, total_delay=279, md5=962de06dc33ad7a73e20723f51baeb74
Unknown Frame: size=33907, net_delay=217, decode_delay=3, encode_delay=58, total_delay=278, md5=41a0cbf25c09759edb6c2e6f71da526a
Unknown Frame: size=34211, net_delay=216, decode_delay=3, encode_delay=60, total_delay=279, md5=591902bb4b7f51ca218d4ca8b154dac2
