Unknown Frame: size=19147, net_delay=137, decode_delay=15, encode_delay=27, total_delay=179, md5=79a57f60dde8a421231df0f87199142b
Unknown Frame: size=18282, net_delay=198, decode_delay=12, encode_delay=24, total_delay=234, md5=67819365ce85b4259409b6282409c037
Unknown Frame: size=17301, net_delay=99, decode_delay=11, encode_delay=17, total_delay=127, md5=15f41b2c2733870ed0b551c1321e00c4
Unknown Frame: size=10832, net_delay=40, decode_delay=10, encode_delay=17, total_delay=67, md5=ccc72d8450c806bdf985e0059400a58e
Unknown Frame: size=17060, net_delay=28, decode_delay=11, encode_delay=18, total_delay=57, md5=432b73a5e5000d7a5e7570b602860c79
Unknown Frame: size=12763, net_delay=24, decode_delay=10, encode_delay=15, total_delay=49, md5=883f235e137d7c77401676a4d9861ffd
Unknown Frame: size=8712, net_delay=20, decode_delay=8, encode_delay=13, total_delay=41, md5=9c8ac46109004f4e099280e9b8c5c8ac
Unknown Frame: size=10779, net_delay=22, decode_delay=7, encode_delay=12, total_delay=41, md5=75798fac57528c740999ae6fe306e572
Unknown Frame: size=8641, net_delay=19, decode_delay=8, encode_delay=15, total_delay=42, md5=08cb81df12522622ab03ff63188022b8
Unknown Frame: size=8558, net_delay=19, decode_delay=8, encode_delay=12, total_delay=39, md5=d2a15e44f5ef1a5016348316650d8e08
Unknown Frame: size=9883, net_delay=21, decode_delay=8, encode_delay=13, total_delay=42, md5=a6c13119fe564d3cb1f3d7405feb4af9
Unknown Frame: size=14095, net_delay=24, decode_delay=9, encode_delay=12, total_delay=45, md5=544cf099802aece3cf2587cef048492c
Unknown Frame: size=10568, net_delay=20, decode_delay=7, encode_delay=13, total_delay=40, md5=2b947fc70344596f67fff7194fea271c
Unknown Frame: size=11006, net_delay=20, decode_delay=8, encode_delay=13, total_delay=41, md5=4ebf219151c2d584e0f1566053a6bd2f
Unknown Frame: size=9883, net_delay=18, decode_delay=7, encode_delay=12, total_delay=37, md5=5d458311c65b3770d5e71bbd7a28c947
Unknown Frame: size=9239, net_delay=18, decode_delay=8, encode_delay=12, total_delay=38, md5=54011b01a0b826efd0e187f3f70f4091
Unknown Frame: size=13707, net_delay=23, decode_delay=8, encode_delay=12, total_delay=43, md5=41b0c0279e30302e16c8509f3a129755
Unknown Frame: size=14034, net_delay=24, decode_delay=10, encode_delay=13, total_delay=47, md5=a19d450a5234877e348dbb6e3f483263
Unknown Frame: size=15620, net_delay=25, decode_delay=10, encode_delay=14, total_delay=49, md5=d18d274d0271792ab20100a5a3058bfa
Unknown Frame: size=10871, net_delay=20, decode_delay=7, encode_delay=12, total_delay=39, md5=e5fd830a90a61edc6686885015b54b42
Unknown Frame: size=15476, net_delay=26, decode_delay=9, encode_delay=13, total_delay=48, md5=1316b1d8891f5d3c7e8e18468f51a16f
Unknown Frame: size=12779, net_delay=24, decode_delay=9, encode_delay=12, total_delay=45, md5=a621e38969e60ba4aef61f33436da1be
Unknown Frame: size=17071, net_delay=29, decode_delay=9, encode_delay=13, total_delay=51, md5=d7e4e0588163629c4b0905ce2a5d3308
Unknown Frame: size=12850, net_delay=21, decode_delay=8, encode_delay=12, total_delay=41, md5=2fc5870b1a0aa2f056df4cf88a0f8c54
Unknown Frame: size=16864, net_delay=27, decode_delay=9, encode_delay=13, total_delay=49, md5=28e6dfa3bcbf48b6eb968e8c1c1e147d
Unknown Frame: size=15335, net_delay=26, decode_delay=8, encode_delay=13, total_delay=47, md5=547768b1bffcefe76d43b0260498378a
Unknown Frame: size=23546, net_delay=38, decode_delay=9, encode_delay=14, total_delay=61, md5=b4c20c005c20e2c20d9ae7248abd5f50
Unknown Frame: size=19080, net_delay=31, decode_delay=8, encode_delay=12, total_delay=51, md5=dd7f735321a29706574605749debe80d
Unknown Frame: size=15642, net_delay=27, decode_delay=8, encode_delay=13, total_delay=48, md5=c69ef2933357d901fc752e41f417d572
Unknown Frame: size=14750, net_delay=29, decode_delay=8, encode_delay=11, total_delay=48, md5=0d9216cab2868eaa786f15ffc77540a4
Unknown Frame: size=15344, net_delay=27, decode_delay=9, encode_delay=12, total_delay=48, md5=16a06b9ebde5f1fdaf1f08020ca62fae
Unknown Frame: size=15721, net_delay=28, decode_delay=8, encode_delay=12, total_delay=48, md5=86a87914bf68c022da9bf30260d9626c
Unknown Frame: size=18768, net_delay=30, decode_delay=9, encode_delay=13, total_delay=52, md5=b2d69e74d001f54ecec4e87cc28c55f3
Unknown Frame: size=20527, net_delay=32, decode_delay=9, encode_delay=13, total_delay=54, md5=41f9ab01b16128cc19019abfc89f2196
Unknown Frame: size=15080, net_delay=29, decode_delay=8, encode_delay=12, total_delay=49, md5=ff995b5db721e4d12ad3fdfb95581d9a
Unknown Frame: size=12981, net_delay=29, decode_delay=8, encode_delay=12, total_delay=49, md5=fdad794b67d49325d6c982051bdbe83f
Unknown Frame: size=16910, net_delay=30, decode_delay=8, encode_delay=13, total_delay=51, md5=8a9a3283101ca8a5b653aa3dfe8f9a3d
Unknown Frame: size=21361, net_delay=34, decode_delay=8, encode_delay=13, total_delay=55, md5=3a64bace3209eb4061be0c2d53fb7af7
Unknown Frame: size=13864, net_delay=30, decode_delay=17, encode_delay=13, total_delay=60, md5=8ac99b4bee3f5955ff61d39a97abd1be
Unknown Frame: size=11380, net_delay=31, decode_delay=7, encode_delay=12, total_delay=50, md5=21554905559d956eb5de64bfb09acf1f
Unknown Frame: size=18341, net_delay=30, decode_delay=9, encode_delay=14, total_delay=53, md5=56ae896211e62b16fbbe5d71ad831398
Unknown Frame: size=9271, net_delay=32, decode_delay=7, encode_delay=11, total_delay=50, md5=9a5546dc372481d08d7a4dfcd4180bfa
