Frame not received: Unknown Frame: size=16088, net_delay=None, decode_delay=None, encode_delay=14, total_delay=None, md5=dd2077a685f20124e781b2e1dc74c755
Unknown Frame: size=16088, net_delay=None, decode_delay=None, encode_delay=14, total_delay=None, md5=dd2077a685f20124e781b2e1dc74c755
Unknown Frame: size=3924, net_delay=94, decode_delay=3, encode_delay=11, total_delay=108, md5=8fc3e6e0d8f0154b452ceaa9de4a1667
Unknown Frame: size=1469, net_delay=81, decode_delay=2, encode_delay=7, total_delay=90, md5=f125a21ee3c941458790099c16fdbbbc
Unknown Frame: size=2214, net_delay=52, decode_delay=1, encode_delay=7, total_delay=60, md5=ad2763f4a9bf74e5912781b60314341c
Unknown Frame: size=5134, net_delay=28, decode_delay=1, encode_delay=7, total_delay=36, md5=ea4326a67a86a6bce1d1ad02bd7c0f20
Unknown Frame: size=4520, net_delay=15, decode_delay=2, encode_delay=7, total_delay=24, md5=93400c251a734596dca641a942c54dc0
Unknown Frame: size=5798, net_delay=15, decode_delay=2, encode_delay=8, total_delay=25, md5=68d960fda388f2fc6ca7afa42be2eb06
Unknown Frame: size=8846, net_delay=18, decode_delay=1, encode_delay=8, total_delay=27, md5=3067e9664aacdbf24675f276915aaec8
Unknown Frame: size=11845, net_delay=24, decode_delay=2, encode_delay=8, total_delay=34, md5=37ba7219b9de0810cb42d92c07175c35
Unknown Frame: size=4694, net_delay=22, decode_delay=1, encode_delay=7, total_delay=30, md5=8fa74dced7d525182ebf167487546be5
Unknown Frame: size=13632, net_delay=25, decode_delay=2, encode_delay=8, total_delay=35, md5=d1af683c981a8c9c270700935f740a2b
Unknown Frame: size=4506, net_delay=23, decode_delay=2, encode_delay=7, total_delay=32, md5=ef7e25c82373fae98c5eabf6d877fa89
Unknown Frame: size=6300, net_delay=23, decode_delay=1, encode_delay=7, total_delay=31, md5=de6361a6247a22500dbb32e379e3b2f9
Unknown Frame: size=14286, net_delay=27, decode_delay=4, encode_delay=8, total_delay=39, md5=3e148ad3c013a04c00fdc541b193a0f7
Unknown Frame: size=3332, net_delay=28, decode_delay=1, encode_delay=6, total_delay=35, md5=2bf7be4ed9ddddde7cec6375a28051a5
Unknown Frame: size=5943, net_delay=26, decode_delay=1, encode_delay=8, total_delay=35, md5=dfd55bfe1dcc14113e1db3e56fd2c9cd
Unknown Frame: size=8635, net_delay=26, decode_delay=2, encode_delay=9, total_delay=37, md5=db64f243cf0396e4066eebe62c53c699
Unknown Frame: size=22209, net_delay=39, decode_delay=3, encode_delay=9, total_delay=51, md5=e7b9361c2af334edd39513c93e5717a5
Unknown Frame: size=4573, net_delay=40, decode_delay=2, encode_delay=6, total_delay=48, md5=1a17750bb0ac75b31fdfb0594cc78ae1
Unknown Frame: size=6007, net_delay=40, decode_delay=1, encode_delay=6, total_delay=47, md5=0ad9e697b583dff6536b5e776a2fe79c
Unknown Frame: size=10500, net_delay=39, decode_delay=2, encode_delay=8, total_delay=49, md5=584fb969a477fff42dd7f89614c70ce3
Unknown Frame: size=6109, net_delay=40, decode_delay=2, encode_delay=7, total_delay=49, md5=fa42584225388c5fbb97e46cc4a7827d
Unknown Frame: size=23590, net_delay=42, decode_delay=3, encode_delay=10, total_delay=55, md5=f1dcfef6a2d5cebc00cb1bd2655d1181
Unknown Frame: size=5540, net_delay=46, decode_delay=2, encode_delay=6, total_delay=54, md5=654f33a698391b7029f8cbf0f1485523
Unknown Frame: size=10033, net_delay=46, decode_delay=2, encode_delay=7, total_delay=55, md5=34906039dee828fc9f0068e64e4b4add
Unknown Frame: size=9449, net_delay=46, decode_delay=2, encode_delay=7, total_delay=55, md5=32d52c6a6af42dbd2328842cb33c3bb6
Unknown Frame: size=7487, net_delay=46, decode_delay=2, encode_delay=6, total_delay=54, md5=ecd078bfe93aacd5afe09185b057a18f
Unknown Frame: size=9156, net_delay=45, decode_delay=2, encode_delay=7, total_delay=54, md5=5e628df157cb078f05ad180e6be15b4a
Unknown Frame: size=6514, net_delay=45, decode_delay=2, encode_delay=7, total_delay=54, md5=36d2c4572f54e723c4775d7fc010c72c
Unknown Frame: size=8793, net_delay=47, decode_delay=1, encode_delay=7, total_delay=55, md5=655f141c5252bd35e65664f786a24a29
Unknown Frame: size=11683, net_delay=47, decode_delay=2, encode_delay=7, total_delay=56, md5=8ad804d06239ff286c027e20ccc87a89
Unknown Frame: size=12365, net_delay=49, decode_delay=2, encode_delay=7, total_delay=58, md5=004b855e182f0f9cf80bfeac9f012514
Unknown Frame: size=9108, net_delay=49, decode_delay=2, encode_delay=7, total_delay=58, md5=f33e61a573dea74986a9505aa0fdd608
Unknown Frame: size=16815, net_delay=49, decode_delay=3, encode_delay=9, total_delay=61, md5=94b218a724a926898fe48ad18c49618f
Unknown Frame: size=18376, net_delay=51, decode_delay=2, encode_delay=9, total_delay=62, md5=446c43a9878aaaa9b87fd7d43f68ca21
Unknown Frame: size=11391, net_delay=54, decode_delay=2, encode_delay=7, total_delay=63, md5=dd5cad0e9abffe24492d4c0bee8138c5
Unknown Frame: size=11870, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=19a097d7969fb5884133912891ab5503
Unknown Frame: size=12012, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=4b9512ea06e973e1493477e8cdaf4203
Unknown Frame: size=15771, net_delay=52, decode_delay=3, encode_delay=9, total_delay=64, md5=02ee35bb24dec7695a33bfda7745bcb1
Unknown Frame: size=11693, net_delay=53, decode_delay=2, encode_delay=8, total_delay=63, md5=6b4d5738e3b877bae2ce1c6ed695fc05
Unknown Frame: size=12727, net_delay=54, decode_delay=2, encode_delay=8, total_delay=64, md5=0c97af6b4022e532f9ef3e9eefa36b39
Unknown Frame: size=7459, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=c68c3a2f916266b4ae4cee5b30fd5a93
Unknown Frame: size=18010, net_delay=52, decode_delay=2, encode_delay=8, total_delay=62, md5=a6ea699a2fd0fbce9e153c10daaac135
Unknown Frame: size=11255, net_delay=54, decode_delay=2, encode_delay=7, total_delay=63, md5=cb09cb6b0fb63aa2d600f50ead5e381e
Unknown Frame: size=18841, net_delay=54, decode_delay=2, encode_delay=9, total_delay=65, md5=c5ad2bb753c2c49b3bc66ca3d7aad090
Unknown Frame: size=12416, net_delay=56, decode_delay=2, encode_delay=7, total_delay=65, md5=34942cd888e19369e4e75ae760d41c8f
Unknown Frame: size=8840, net_delay=55, decode_delay=2, encode_delay=7, total_delay=64, md5=a69cac04ba4c48705ade50c09b60ae41
Unknown Frame: size=10957, net_delay=55, decode_delay=2, encode_delay=7, total_delay=64, md5=4219de439d4b71c795ecc70e32da85a9
Unknown Frame: size=13233, net_delay=54, decode_delay=2, encode_delay=7, total_delay=63, md5=2177745f97feaf4a76dc865b49d09b24
Unknown Frame: size=6360, net_delay=54, decode_delay=2, encode_delay=6, total_delay=62, md5=bbc738976a88ff64c266217e75410d85
Unknown Frame: size=6325, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=0257a6f5f0a44313eef3f11670fdb058
Unknown Frame: size=10922, net_delay=52, decode_delay=2, encode_delay=8, total_delay=62, md5=2c785d0e0bca3d6a92dd4788a9694013
Unknown Frame: size=9720, net_delay=51, decode_delay=2, encode_delay=8, total_delay=61, md5=6a346a91d8f9b8bb9def63a354bb6023
Unknown Frame: size=7558, net_delay=52, decode_delay=1, encode_delay=7, total_delay=60, md5=81353d9d267ef6b771341a6e89cc97ca
