Frame not received: Unknown Frame: size=41216, net_delay=None, decode_delay=None, encode_delay=38, total_delay=None, md5=4e97ea269d9c3787edd1e943eb9944a2
Unknown Frame: size=41216, net_delay=None, decode_delay=None, encode_delay=38, total_delay=None, md5=4e97ea269d9c3787edd1e943eb9944a2
Unknown Frame: size=4645, net_delay=224, decode_delay=4, encode_delay=10, total_delay=238, md5=63de50d60db97331af23bcbe96e9d950
Unknown Frame: size=1922, net_delay=196, decode_delay=1, encode_delay=7, total_delay=204, md5=532a615a0657ca1d7e4efa60f16462e1
Unknown Frame: size=3576, net_delay=102, decode_delay=2, encode_delay=8, total_delay=112, md5=98693d7404ad1920f87fa3ea97cc4236
Unknown Frame: size=3458, net_delay=72, decode_delay=1, encode_delay=9, total_delay=82, md5=cd3b19769830063e10f4f3e33b1c146d
Unknown Frame: size=6343, net_delay=47, decode_delay=1, encode_delay=10, total_delay=58, md5=e9e165e006c046380beb2bf9c6feebdc
Unknown Frame: size=7178, net_delay=24, decode_delay=2, encode_delay=10, total_delay=36, md5=38191076b8c28cec0e534937f67604a0
Unknown Frame: size=7124, net_delay=14, decode_delay=2, encode_delay=9, total_delay=25, md5=ad18bc7271d0be6afc8547d37d962378
Unknown Frame: size=9389, net_delay=17, decode_delay=2, encode_delay=8, total_delay=27, md5=59e76925556a3ca571576d7c17ff4c1d
Unknown Frame: size=9810, net_delay=18, decode_delay=3, encode_delay=8, total_delay=29, md5=dabf6f6bfd397801cf2446eec37ea3c8
Unknown Frame: size=5164, net_delay=16, decode_delay=1, encode_delay=8, total_delay=25, md5=3480f0f5b59629570d2b094be0f3705d
Unknown Frame: size=12238, net_delay=22, decode_delay=3, encode_delay=9, total_delay=34, md5=1a9e7a67eb1a601840db2a463fcad905
Unknown Frame: size=16576, net_delay=29, decode_delay=5, encode_delay=9, total_delay=43, md5=c2f1c85e3cf0ee0b9adb0b9e38708bf9
Unknown Frame: size=6433, net_delay=29, decode_delay=2, encode_delay=7, total_delay=38, md5=7561ab650569027f77203e6953916f22
Unknown Frame: size=16858, net_delay=29, decode_delay=3, encode_delay=9, total_delay=41, md5=e70bdbcd3c9cdae3b52ba2a7079a4248
Unknown Frame: size=6368, net_delay=29, decode_delay=2, encode_delay=7, total_delay=38, md5=3823a358820bc4369de9076e8af56353
Unknown Frame: size=9792, net_delay=27, decode_delay=3, encode_delay=8, total_delay=38, md5=ad5d8b0778e4a39eadf18d91696bde8f
Unknown Frame: size=25362, net_delay=39, decode_delay=5, encode_delay=11, total_delay=55, md5=4e7ffe6d5f6fb068f9c65c83c3f75a4a
Unknown Frame: size=3299, net_delay=41, decode_delay=1, encode_delay=6, total_delay=48, md5=c8c32b72d7c00eccce00c57a318c1a3d
Unknown Frame: size=6550, net_delay=37, decode_delay=3, encode_delay=8, total_delay=48, md5=c2d8997028c2cd057af957b19e9dbaec
Unknown Frame: size=16174, net_delay=39, decode_delay=3, encode_delay=10, total_delay=52, md5=0c9673fbda52d7ffad7e65750c54eb89
Unknown Frame: size=23610, net_delay=42, decode_delay=4, encode_delay=11, total_delay=57, md5=af45f5ff34e935168bba13d0775e34e2
Unknown Frame: size=6891, net_delay=44, decode_delay=2, encode_delay=7, total_delay=53, md5=dc2f357d6b91d5dd34ac09ce399a4209
Unknown Frame: size=8978, net_delay=45, decode_delay=2, encode_delay=7, total_delay=54, md5=f9c6fa567667aabbddd97ced96bdf29d
Unknown Frame: size=23016, net_delay=46, decode_delay=4, encode_delay=10, total_delay=60, md5=6f548047cebd2bcc6289fa440ff3e6a4
Unknown Frame: size=6638, net_delay=47, decode_delay=2, encode_delay=7, total_delay=56, md5=1f658371880306535dd90f75c7f5dfc1
Unknown Frame: size=11090, net_delay=47, decode_delay=2, encode_delay=8, total_delay=57, md5=e532522b19a080f0cc6d662625e4d050
Unknown Frame: size=28888, net_delay=51, decode_delay=5, encode_delay=10, total_delay=66, md5=af85f8269f970d1d33b57933286b8190
Unknown Frame: size=7796, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=f54018474cc287c5861b1263a1bcbabf
Unknown Frame: size=9915, net_delay=53, decode_delay=2, encode_delay=7, total_delay=62, md5=50a8a4b661d249f0316a6805cdc825c9
Unknown Frame: size=10607, net_delay=52, decode_delay=2, encode_delay=7, total_delay=61, md5=20a00fc843e3d76f0a74b23dd1f4ebd5
Unknown Frame: size=16268, net_delay=52, decode_delay=3, encode_delay=9, total_delay=64, md5=bb9a3793721b85ab8bb7cd9c19de4a7b
Unknown Frame: size=5658, net_delay=54, decode_delay=2, encode_delay=6, total_delay=62, md5=bc69e4088c53857aea3a77af668edcf5
Unknown Frame: size=9408, net_delay=53, decode_delay=3, encode_delay=7, total_delay=63, md5=ab27c50cc6f2cfb409a6e60020af7e31
Unknown Frame: size=12828, net_delay=53, decode_delay=2, encode_delay=8, total_delay=63, md5=b0d4e048a824d5b234c85adb4304fd3e
Unknown Frame: size=14039, net_delay=54, decode_delay=3, encode_delay=8, total_delay=65, md5=7402e3cb96a003360ba12d16de1664b0
Unknown Frame: size=10307, net_delay=55, decode_delay=2, encode_delay=7, total_delay=64, md5=7c107293f64e6e3b468b7b12333c5655
Unknown Frame: size=21131, net_delay=55, decode_delay=4, encode_delay=10, total_delay=69, md5=57671fb200ae58b0605d920734361cea
Unknown Frame: size=6203, net_delay=58, decode_delay=2, encode_delay=7, total_delay=67, md5=9890b11ed6981a35c3753bd0dc5a66da
Unknown Frame: size=11459, net_delay=57, decode_delay=2, encode_delay=8, total_delay=67, md5=1ca64fcdb4be636078a450f94e40b4e4
Unknown Frame: size=13705, net_delay=59, decode_delay=3, encode_delay=8, total_delay=70, md5=99a91f6742c0cd57b22588cd48082d34
Unknown Frame: size=12187, net_delay=60, decode_delay=3, encode_delay=7, total_delay=70, md5=f80f7406fc678cd0801101f8ddcc2703
Unknown Frame: size=15224, net_delay=59, decode_delay=3, encode_delay=9, total_delay=71, md5=0a2d2961961c9c42a14b60c520913bee
Unknown Frame: size=26133, net_delay=61, decode_delay=4, encode_delay=10, total_delay=75, md5=897d7fd8fb404015a5363aeed63c3621
Unknown Frame: size=4405, net_delay=64, decode_delay=2, encode_delay=6, total_delay=72, md5=70b70e22d703ea7c105fc4fa3ec87832
Unknown Frame: size=6191, net_delay=64, decode_delay=2, encode_delay=6, total_delay=72, md5=61ac0a0a9d48bf24e54240c518b850f0
Unknown Frame: size=59562, net_delay=84, decode_delay=8, encode_delay=15, total_delay=107, md5=8f3abf11c6b1071f942484f2e67ef6eb
Unknown Frame: size=8176, net_delay=71, decode_delay=2, encode_delay=7, total_delay=80, md5=02857a5d9c378c542181b8d4b7343153
Unknown Frame: size=14760, net_delay=73, decode_delay=2, encode_delay=8, total_delay=83, md5=4aeed76bedb37cea2b1b6ef2e2129291
Unknown Frame: size=10493, net_delay=73, decode_delay=3, encode_delay=7, total_delay=83, md5=cc8c4f3d0d8af6d4d12d34c83b2f43c6
Unknown Frame: size=6685, net_delay=72, decode_delay=2, encode_delay=7, total_delay=81, md5=cdc7e6a943f46670f7cfd56e8414d8bb
Unknown Frame: size=25996, net_delay=70, decode_delay=4, encode_delay=10, total_delay=84, md5=f1038149212d91d3cd88b89fb5c08710
Unknown Frame: size=6155, net_delay=74, decode_delay=2, encode_delay=6, total_delay=82, md5=6e81964d89b93c0a78b173255f2acd35
Unknown Frame: size=6297, net_delay=74, decode_delay=1, encode_delay=7, total_delay=82, md5=2dfac3d7f8b7d5f193c1582a26bdac1f
Unknown Frame: size=39717, net_delay=70, decode_delay=6, encode_delay=13, total_delay=89, md5=e089e1bc90d3e9c94e3a0619d5f0b382
Unknown Frame: size=8931, net_delay=76, decode_delay=2, encode_delay=8, total_delay=86, md5=453540d995f460b7409c2ab09dcaca1e
Unknown Frame: size=13759, net_delay=76, decode_delay=2, encode_delay=8, total_delay=86, md5=a98868edbec91d38b5c3ddb8d9b93acb
Unknown Frame: size=9157, net_delay=77, decode_delay=2, encode_delay=7, total_delay=86, md5=a36fe7e6d6dc044dc87b60d5ddc4d864
Unknown Frame: size=6134, net_delay=77, decode_delay=2, encode_delay=7, total_delay=86, md5=b4496e08642597705236541112eb5050
Unknown Frame: size=23533, net_delay=74, decode_delay=4, encode_delay=10, total_delay=88, md5=0d41e4f7a1e2580247d9ad8d440ef427
Unknown Frame: size=7704, net_delay=77, decode_delay=2, encode_delay=8, total_delay=87, md5=aac4b895f605f598b1269b5820146b76
Unknown Frame: size=12825, net_delay=78, decode_delay=3, encode_delay=7, total_delay=88, md5=6e5a982116027bc26d828d8b7412e375
Unknown Frame: size=13894, net_delay=79, decode_delay=2, encode_delay=7, total_delay=88, md5=d358c79bac05efa4d2a345a955bd7139
Unknown Frame: size=8520, net_delay=81, decode_delay=2, encode_delay=6, total_delay=89, md5=f7ad248805510875d123a3767a18f1d3
Unknown Frame: size=9023, net_delay=79, decode_delay=2, encode_delay=8, total_delay=89, md5=55010d0e697005f4055fe5c6340e3e00
Unknown Frame: size=7572, net_delay=78, decode_delay=2, encode_delay=7, total_delay=87, md5=14ea89a45b36b89071529c3ba8ee9095
Unknown Frame: size=37122, net_delay=75, decode_delay=5, encode_delay=12, total_delay=92, md5=c43d98281ddecf9d4e9830045d3a6c24
